spam/ham,VocabularyRichness,Legomena,Dislegomena,YuleK,Entropy,Sichel,Honore,WordLengthWithoutStopwords,InverseFI_WithoutStopwords,ComplexWordsWithoutStopwords,FISimpleWithoutStopwords,SimpleWordsWithoutStopwords,FKRI_WithoutStopwords,FORCAST_WithoutStopwords,SMOG_WithoutStopWords,FRESWithoutStopwords,FogIndexWithoutStopWords,FogIndex,FRES,SMOG-I,FORCAST,FISimple,InverseFI,SMOG,FKRI,ARI,CLI,SimpleWords,ComplexWords,WordLength,TFISFWithoutStopwords,MaxLongestRepeatingCharacter,MinCharacterDiversity,UniqueHTMLAnchor,RatioNonAlphaNumToAll,RatioDigitToAll,RatioUpperToAll,RatioUpperLower,AvgWordsinSentences,AvgCharinParagraphs,AvgWordsinParagraphs,AvgSentenceinParagraphs,CountofParagraphs,SpamWords,FunctionWords,HTMLAnchor,HTMLNotAnchor,HTMLImage,LongestCapital,CountCapWord,SenBegLower,CountLines,SenBegUpper,AllCountDigitWord,CountSentence,SingleCharWords,HTMLTags,DuplicateWords,CountLowerChars,TFISF,SingleDigitWords,AllCountCapWord,QuestionMark,SingleLetterWords,ExclamationMark,CountUpperChars,Comma,CountWord,SemiColon,Colon,SingleQuote,Period,Space,Tab,Dollar,Ellipsis,WordsMinChar,MultipleExclamationMarks,AlphaOnly,AlphaChars,MultipleQuestionMarks,SpecialChars,WordsMaxChar,CountDigitChars,WordsAVGChar,CountWordLess3Char,CountChars,CountWordLonger6Char,AlphaNumeric
1,0.669950739,113,11,101.9194836,4.622761183,0.080882353,3141.721796,2.339130435,0.054223969,42,27.48550725,68,14.22173913,13.2,13.24695077,-0.782518116,18.44202899,17.85079365,10.19178571,13.93595417,12.7,27.37460317,0.056019918,13.36822068,12.72376984,60.32673516,-15.2793242,73,43,2.198412698,322,6,1.205908551,0,0.4,1,1,12,10.83333333,32.2,5.2,1,25,2,26,0,1,0,12,65,71,29,65,3,12,56,1,14,699,344,0,19,0,12,0,149,7,149,0,7,10,102,122,0,0,29,1,0,126,848,0,281,18,35,4.669950739,37,1220,66,2
1,0.670553936,179,31,55.75907998,5.185775079,0.134782609,2632.701966,2.413043478,0.039142274,94,32.85217391,136,18.18791304,6.4,19.79285562,-20.65347826,25.54782609,24.78007168,-6.148016129,20.72976657,2.8,35.81949821,0.040355008,19.88194302,16.87498925,43.74476744,-15.38179425,172,95,2.182795699,517,2,1.199405511,0,0.5,1,1,13,28.3,821,141.5,5.5,2,3,107,0,1,0,11,36,250,6,36,3,10,64,1,44,1541,596,1,15,0,19,0,144,14,299,0,2,17,16,279,0,0,0,1,0,279,1685,0,347,15,24,5.125364431,77,2066,115,2
1,0.6,174,37,104.8406139,5.037730231,0.16017316,2412.630193,2.710638298,0.04267124,107,28.37115839,136,19.34219858,6.4,16.35415042,-35.73638889,23.43498818,21.69524931,-12.70114743,17.17984799,3.5,29.61044366,0.04609304,16.47837775,16.380053,49.69278788,-15.34797006,165,109,2.406360424,751,5,1.183368215,0,0.4,1,1,11,16.55555556,87.85714286,14.19047619,1.333333333,21,2,92,0,1,0,9,57,236,25,57,9,18,95,1,50,1750,862,1,13,0,21,3,134,25,310,0,3,27,22,266,0,1,0,1,1,283,1884,0,363,19,36,5.096103896,77,2331,126,6
1,0.728571429,43,5,220.4081633,3.704930679,0.098039216,2708.415717,2.095238095,0.04812099,13,34.11428571,27,14.39880952,17.3,16.96424004,8.262857143,20.78095238,20.4,25.88730769,17.68660237,16.6,36.55384615,0.049019608,16.96424004,12.59769231,39.84970588,-15.38658869,34,13,1.826923077,45,1,1.262605211,0,0,1,0.5,1,26.5,250,53,2,1,0,27,0,1,0,1,5,47,6,5,1,2,22,1,7,243,53,0,0,0,7,0,5,9,53,0,0,5,52,52,0,0,17,1,0,52,248,0,121,13,2,3.571428571,23,381,11,0
1,0.75,5,0,937.5,1.667461933,0,1247.664925,2,1.666666667,0,40.6,3,8.595,19.7,3,36.1125,0.6,0.6,36.1125,3.1219,19.7,40.6,1.666666667,3,8.595,49.97,-15.11533333,3,0,2,6,3,1.320469248,0,0,0,0.25,0.333333333,1.5,5.666666667,1,1,3,0,0,0,1,0,1,3,0,7,3,0,2,1,1,0,14,6,0,0,0,0,0,3,0,3,0,0,0,10,3,0,0,3,4,0,3,17,0,16,7,0,2.125,0,45,1,0
1,0.514705882,120,26,134.7750865,4.73029138,0.148571429,1854.664515,2.121827411,0.046546135,67,33.86984772,128,14.43956345,7.2,17.17744688,7.332901015,21.48406091,21.01929961,24.05844942,18.12805684,3.7,35.64964981,0.047575325,17.38749457,12.62225292,37.43196319,-15.41662644,163,69,1.852140078,418,4,1.238307812,0,0.4,1,1,1,25.8,163.5,32.25,1.5,8,3,161,0,1,0,3,26,239,12,26,1,10,92,1,47,1341,511,0,3,0,28,0,27,25,275,0,1,28,12,256,0,3,0,1,0,257,1368,0,342,15,23,4.217647059,107,1755,89,0
1,0.852459016,44,7,53.74899221,3.897760792,0.134615385,2672.068012,2.921052632,0.037668517,18,29.70526316,21,22.97342105,17.9,19.43167673,-59.57105263,26.54736842,25.54285714,-44.10857143,20.26013882,17.7,30.3047619,0.039149888,19.43167673,20.92357143,73.40043478,-15.21673913,23,18,2.714285714,49,3,1.213113449,0,0.4,1,1,1,22,92.33333333,14.66666667,1.333333333,3,0,11,0,1,0,3,17,28,7,17,2,2,11,1,3,287,52,0,2,0,3,0,19,3,52,0,3,0,4,52,0,0,0,1,0,42,306,0,78,15,39,6.06557377,10,435,23,0
1,0.662162162,161,22,105.9167275,4.914696395,0.112244898,3186.601294,2.788819876,0.043164628,78,26.14848374,90,19.38278042,11,14.73230833,-38.71180855,23.16711728,21.16663554,-18.41131653,15.43688879,9.1,27.51584189,0.047244164,14.80727592,16.75397448,63.44468969,-15.25816514,109,79,2.529100529,621,33,1.219728587,0,0.5,1,1,3,11.82352941,77.875,12.5625,1.9375,16,3,47,0,1,0,11,63,135,20,63,11,17,83,1,26,1203,691,7,12,0,11,0,135,15,219,0,15,18,21,200,0,1,0,1,0,189,1338,0,479,15,35,4.831081081,52,1890,95,2
1,0.642553191,124,17,177.0937076,4.590039235,0.112582781,3053.323751,2.6,0.036585366,58,27.66666667,59,18.925,14.1,20.02938637,-33.425,27.33333333,26.1716895,-14.87703196,21.18718992,12.2,31.10319635,0.038209226,20.32050808,16.95945205,68.88384615,-15.26376649,78,60,2.328767123,305,11,1.225845774,0,0.4,1,1,1,25.16666667,40.33333333,6.25,1.083333333,24,1,34,0,1,0,7,44,104,28,44,3,6,77,1,20,914,348,1,8,0,11,0,78,21,158,0,20,15,10,140,0,1,0,1,0,146,992,0,301,16,41,4.49787234,34,1388,73,3
1,0.658595642,227,29,86.53389537,5.207658851,0.106617647,3640.839434,2.531914894,0.04719433,92,29.8698373,143,17.56718398,5.7,15.74177936,-21.39588235,21.18898623,19.85019887,-2.625626963,16.48360716,2.5,31.52279673,0.050377329,15.810841,15.30015072,48.14985882,-15.3278034,175,93,2.277580071,837,4,1.219728587,0,0.5,1,1,11,17.52941176,65.71428571,10.64285714,1.25,28,3,70,0,1,0,12,77,212,32,77,15,17,112,1,41,1660,950,9,18,0,21,2,175,21,331,0,18,26,18,267,0,0,0,1,0,281,1835,0,397,17,100,4.958837772,81,2394,127,3
1,0.59697733,190,25,110.907372,5.024839477,0.105485232,3017.431699,2.096638655,0.050936272,87,27.36346749,133,11.88033613,6.7,14.72042751,16.74515922,19.63237506,18.54659157,30.96232278,15.34630589,5.3,27.40268013,0.053918263,14.72042751,9.938807535,47.51331901,-15.39758396,147,87,1.907749077,798,3,1.238307812,0,0.5,1,1,8,14.73684211,64.66666667,13.33333333,1.380952381,21,3,36,0,1,0,14,64,219,25,64,9,19,115,1,35,1273,871,4,12,0,31,0,135,28,306,0,9,19,141,265,0,0,40,1,0,271,1408,0,507,16,68,3.884130982,117,2031,91,1
