spam/ham,VocabularyRichness,Legomena,Dislegomena,YuleK,Entropy,Sichel,Honore,WordLengthWithoutStopwords,InverseFI_WithoutStopwords,ComplexWordsWithoutStopwords,FISimpleWithoutStopwords,SimpleWordsWithoutStopwords,FKRI_WithoutStopwords,FORCAST_WithoutStopwords,SMOG_WithoutStopWords,FRESWithoutStopwords,FogIndexWithoutStopWords,FogIndex,FRES,SMOG-I,FORCAST,FISimple,InverseFI,SMOG,FKRI,ARI,CLI,SimpleWords,ComplexWords,WordLength,TFISFWithoutStopwords,MaxLongestRepeatingCharacter,MinCharacterDiversity,UniqueHTMLAnchor,RatioNonAlphaNumToAll,RatioDigitToAll,RatioUpperToAll,RatioUpperLower,AvgWordsinSentences,AvgCharinParagraphs,AvgWordsinParagraphs,AvgSentenceinParagraphs,CountofParagraphs,SpamWords,FunctionWords,HTMLAnchor,HTMLNotAnchor,HTMLImage,LongestCapital,CountCapWord,SenBegLower,CountLines,SenBegUpper,AllCountDigitWord,CountSentence,SingleCharWords,HTMLTags,DuplicateWords,CountLowerChars,TFISF,SingleDigitWords,AllCountCapWord,QuestionMark,SingleLetterWords,ExclamationMark,CountUpperChars,Comma,CountWord,SemiColon,Colon,SingleQuote,Period,Space,Tab,Dollar,Ellipsis,WordsMinChar,MultipleExclamationMarks,AlphaOnly,AlphaChars,MultipleQuestionMarks,SpecialChars,WordsMaxChar,CountDigitChars,WordsAVGChar,CountWordLess3Char,CountChars,CountWordLonger6Char,AlphaNumeric
0,0.474516696,187,42,151.531531,4.974697933,0.155555556,2063.671948,1.786231884,0.045502506,67,38.64347826,182,13.3742029,1.8,17.94434118,24.59311594,21.97681159,24.35833333,33.98458333,19.05398817,-5.6,43.73333333,0.041053712,18.27525232,13.57208333,48.15312066,-15.34965313,256,70,1.53125,621,46,1.196146055,0,0.5,0.666666667,1,2,42.66666667,36.16666667,8,1.020833333,48,1,118,0,3,0,4,77,345,71,77,0,9,162,3,60,2024,779,0,28,4,34,0,126,28,434,0,6,19,36,374,0,0,1,1,0,384,2150,0,713,17,6,4.031634446,183,3009,111,1
0,0.857142857,21,2,127.5510204,3.115475025,0.083333333,2665.763608,3,0.049517522,6,20.19487179,6,20.59,19.4,10.74596669,-51.36333333,20.19487179,17.13333333,-20.65333333,11.20094326,19.2,22.13333333,0.058365759,10.74596669,16.425,89.99958333,-15.223775,8,6,2.625,24,2,1.199469419,0,0.131578947,0,1,1,5.333333333,40.5,8,2,2,0,2,0,1,0,1,5,13,9,5,0,3,8,1,2,129,27,0,1,1,1,0,9,1,18,0,0,0,5,12,0,0,0,1,0,16,138,0,33,11,0,5.214285714,6,187,8,0
0,0.813953488,28,6,97.34991888,3.491116324,0.171428571,1880.600058,3.5,0.05107832,8,28.46666667,12,26.88,18.8,10.74596669,-93.8325,19.57777778,15.73333333,-46.005,11.20094326,18.3,30.73333333,0.063559322,10.74596669,20.48416667,71.01617647,-15.07094706,17,8,2.916666667,37,3,1.21228545,0,0.191489362,0,1,1,6,21.5,4,1.333333333,6,0,4,0,1,0,1,9,20,16,9,0,4,12,1,3,227,43,0,1,2,1,0,14,2,29,0,2,0,7,19,0,0,0,1,0,24,241,0,55,12,0,6.046511628,8,326,14,0
0,0.476718404,148,32,127.6296577,4.853623503,0.148837209,1961.142504,1.608247423,0.083421021,36,32.19357186,134,6.461437235,6.6,10.97053397,59.19432686,11.98738629,11.73109244,67.7494958,11.43516693,-1.4,37.15966387,0.085243553,10.97053397,6.387268908,28.50865036,-15.40708402,214,36,1.446428571,675,3,1.224303832,0,0.571428571,1,1,2,16.70588235,35.31428571,8.114285714,1.257142857,35,1,105,0,1,0,7,50,255,53,50,4,17,121,1,54,1308,856,4,22,0,17,1,119,17,330,1,8,13,25,273,0,0,0,1,0,280,1427,0,448,17,4,3.465631929,134,1983,77,0
0,0.75,31,7,207.1005917,3.502677727,0.179487179,1926.231313,1.086956522,0.108695652,0,40.50434783,18,4.256086957,18.2,3,91.53347826,9.2,11.6,89.88275862,3.1219,17.7,43.32413793,0.086206897,3,5.586896552,26.11173913,-15.45601439,23,0,1.034482759,0,2,1.348006155,0,0.5,1,1,1,30,30,10,1,3,0,8,0,1,0,4,7,25,10,7,1,1,21,1,7,86,0,1,5,0,6,0,18,1,35,0,1,2,2,27,0,1,0,1,0,29,104,0,53,7,1,2.269230769,20,176,3,0
0,0.5,62,15,447.5308642,3.923035166,0.166666667,1669.164702,2.764705882,0.036078098,12,52.42352941,33,29.90352941,16.7,21.97366596,-61.56911765,27.71764706,27.83157895,-43.235,22.9114336,16.6,50.98947368,0.035930408,21.97366596,27.17,108.7485294,-14.54450588,34,12,2.5,0,9,1.224303832,0,0.4,1,1,1,122,9.71875,3.8125,1,32,0,3,0,1,0,5,19,35,37,19,83,1,82,1,21,310,0,51,5,0,2,0,34,2,147,0,9,1,5,137,0,0,0,1,0,38,344,0,213,12,188,3.155555556,94,817,27,3
0,0.904761905,34,4,45.35147392,3.605641584,0.105263158,3550.786137,1.35,0.083333333,2,38,15,6.19,18.5,10.74596669,72.325,12,13.76296296,79.16333333,11.20094326,18,40.42962963,0.072658773,10.74596669,6.195185185,30.2535,-15.42933333,20,2,1.185185185,0,2,1.282088854,0,0.5,0,1,1,27,31,9,1,3,0,10,0,1,0,4,9,21,10,9,0,1,10,1,3,97,0,0,3,0,3,0,15,0,32,0,1,1,2,27,0,0,0,1,0,27,112,0,47,12,0,3,16,177,4,0
0,0.613138686,60,5,110.8210347,4.228102485,0.05952381,1721.993324,1.943396226,0.056712798,14,31.97232704,33,11.63207547,16.7,14.83215957,24.49201258,17.6327044,17.50175439,43.09008772,15.46284243,15.1,35.92280702,0.057137129,14.83215957,10.03263158,56.71380952,-15.25488034,49,14,1.631578947,92,47,1.231596819,0,0.5,1,1,12,30.33333333,36.08333333,7.583333333,1.083333333,12,0,23,0,1,0,9,25,61,22,25,5,3,31,1,15,382,110,5,7,0,3,0,80,6,110,1,8,0,6,84,0,0,0,1,0,76,462,0,188,15,36,4.182481752,46,728,26,10
0,0.804878049,27,5,130.8744795,3.409263548,0.151515152,2042.464637,2.157894737,0.060858424,6,33.27368421,14,12.60315789,18.6,12.48683298,14.63460526,16.43157895,15.30909091,26.47,13.0166668,18.4,33.49090909,0.065320665,12.48683298,11.13,54.3975,-15.18485455,16,6,2,31,2,1.22148879,0,0.233333333,0,0.5,1,11,18.16666667,3.666666667,1,6,0,4,0,1,0,1,4,21,18,4,0,2,15,1,1,153,34,0,0,0,0,0,4,2,25,1,3,2,4,25,0,0,0,2,0,22,157,0,53,11,0,4.073170732,6,244,8,0
0,0.554285714,144,30,150.2040816,4.78682429,0.154639175,2272.878064,2.153846154,0.058791606,42,37.77846154,123,14.62238462,7.7,14.22497216,8.785615385,17.00923077,16.59721393,26.49320149,14.96810281,4,39.88079602,0.060251076,14.35781669,12.95845771,42.619,-15.26150896,160,43,1.890547264,450,56,1.182068643,0,0.5,0.166666667,1,1,20.2,32.28571429,7.178571429,1.214285714,28,2,53,0,1,0,5,46,190,53,46,0,10,109,1,35,1195,529,0,8,2,8,2,83,7,238,6,30,9,23,238,0,1,0,1,1,201,1278,0,510,14,12,3.917142857,90,1904,67,3
